holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical,temperature_categorical
None,289.44,0.51,0.0,90,Thunderstorm,proximity thunderstorm,5/10/2014 20:00,2890,low,medium
None,300.59,0.0,0.0,76,Clouds,broken clouds,8/11/2016 15:00,5365,high,high
None,292.22,0.0,0.0,1,Clear,sky is clear,5/6/2017 18:00,4487,high,high
None,281.42,0.0,0.0,90,Mist,mist,11/11/2015 20:00,2340,low,medium
None,291.94,0.0,0.0,36,Clouds,scattered clouds,6/26/2013 3:00,370,very low,high
None,256.53,0.0,0.0,20,Clouds,few clouds,1/6/2017 18:00,4616,high,low
None,281.41,0.0,0.0,1,Clear,sky is clear,5/8/2017 8:00,5729,high,medium
None,268.58,0.0,0.0,5,Clear,sky is clear,1/27/2018 8:00,2848,low,low
None,295.22,0.0,0.0,36,Clouds,scattered clouds,9/20/2016 19:00,3233,medium,high
None,258.27,0.0,0.0,1,Clear,sky is clear,2/22/2013 6:00,4068,medium,low
None,303.69,0.0,0.0,75,Clouds,broken clouds,6/25/2016 12:00,4544,high,high
None,295.3,0.0,0.0,24,Clouds,few clouds,9/10/2013 3:00,387,very low,high
None,276.15,0.0,0.0,90,Thunderstorm,proximity thunderstorm,3/23/2018 21:00,2915,medium,medium
None,263.43,0.0,0.0,75,Clouds,broken clouds,11/23/2013 11:00,4975,high,low
None,273.79,0.0,0.0,1,Clear,sky is clear,4/22/2018 4:00,368,very low,medium
None,295.29,0.0,0.0,1,Clear,sky is clear,5/29/2018 4:00,828,very low,high
None,283.58,0.0,0.0,1,Clear,sky is clear,9/5/2017 7:00,6559,very high,medium
None,270.94,0.0,0.0,1,Clear,sky is clear,1/29/2017 15:00,4535,high,low
None,264.57,0.0,0.0,1,Clear,sky is clear,2/23/2014 15:00,3888,medium,low
None,291.08,0.0,0.0,5,Clear,sky is clear,9/27/2017 18:00,4708,high,medium
None,288.18,0.0,0.0,75,Clouds,broken clouds,6/5/2013 4:00,788,very low,medium
None,289.65,0.0,0.0,1,Clear,sky is clear,7/24/2018 6:00,5782,high,medium
None,270.51,0.0,0.0,5,Clear,sky is clear,2/25/2018 19:00,2950,medium,low
None,266.57,0.0,0.0,75,Clouds,broken clouds,2/14/2013 7:00,5383,high,low
None,292.71,0.0,0.0,0,Clear,Sky is Clear,8/23/2013 22:00,2633,low,high
None,274.95,0.0,0.0,90,Rain,light rain,10/28/2015 19:00,3172,medium,medium
None,293.56,0.0,0.0,5,Clear,sky is clear,5/15/2018 21:00,2773,low,high
None,285.51,0.0,0.0,1,Clear,sky is clear,4/28/2018 15:00,4925,high,medium
None,276.28,0.0,0.0,40,Clouds,scattered clouds,3/10/2014 8:00,5359,high,medium
None,301.75,0.0,0.0,76,Rain,light rain,6/22/2016 14:00,5821,high,high
None,279.27,0.96,0.0,90,Rain,light rain,4/28/2014 15:00,5562,high,medium
None,300.26,0.0,0.0,1,Clear,sky is clear,9/14/2015 18:00,4331,medium,high
None,299.15,0.0,0.0,40,Clouds,scattered clouds,9/19/2017 16:00,6741,very high,high
None,290.22,0.0,0.0,90,Clouds,overcast clouds,4/9/2014 23:00,1258,very low,medium
None,289.82,0.0,0.0,40,Clouds,scattered clouds,4/16/2017 14:00,4146,medium,medium
None,292.54,1.09,0.0,90,Drizzle,drizzle,7/16/2015 16:00,5907,very high,high
None,270.6,0.0,0.0,90,Clouds,overcast clouds,11/26/2012 21:00,2098,low,low
None,292.58,0.0,0.0,1,Clear,sky is clear,8/7/2018 0:00,606,very low,high
None,282.01,0.0,0.0,90,Rain,moderate rain,5/18/2017 6:00,5656,high,medium
None,283.42,0.0,0.0,1,Clear,sky is clear,11/17/2016 0:00,475,very low,medium
None,274.22,0.0,0.0,1,Fog,fog,12/9/2015 1:00,335,very low,medium
None,260.88,0.0,0.0,1,Clear,sky is clear,1/8/2017 13:00,3989,medium,low
None,271.46,0.0,0.0,40,Clouds,scattered clouds,10/29/2012 7:00,6642,very high,low
None,276.72,0.0,0.0,90,Snow,light snow,4/6/2016 17:00,6466,very high,medium
None,293.15,0.0,0.0,90,Clouds,overcast clouds,8/17/2017 14:00,5270,high,high
None,275.45,0.25,0.0,64,Rain,light rain,12/28/2013 17:00,4334,medium,medium
None,299.22,0.0,0.0,1,Clear,sky is clear,6/2/2017 22:00,2886,low,high
None,297.22,0.0,0.0,5,Clear,sky is clear,5/15/2018 17:00,6548,very high,high
None,275.95,0.0,0.0,90,Fog,fog,1/21/2017 14:00,5658,high,medium
None,271.01,0.0,0.0,40,Mist,mist,12/16/2017 0:00,1275,very low,low
None,285.58,0.0,0.0,75,Clouds,broken clouds,10/25/2017 18:00,4920,high,medium
None,254.5,0.0,0.0,90,Clouds,overcast clouds,1/2/2014 2:00,213,very low,low
None,293.79,3.1,0.0,90,Rain,heavy intensity rain,9/4/2018 19:00,3017,medium,high
None,282.04,0.0,0.0,48,Clouds,scattered clouds,9/28/2016 0:00,500,very low,medium
None,298.38,0.0,0.0,8,Clear,sky is clear,7/14/2013 0:00,1378,very low,high
None,264.79,0.0,0.0,75,Clouds,broken clouds,1/7/2018 8:00,1695,low,low
None,288.65,0.0,0.0,75,Clouds,broken clouds,7/14/2017 4:00,938,very low,medium
None,295.15,0.0,0.0,75,Clouds,broken clouds,7/23/2017 12:00,4257,medium,high
None,279.91,0.0,0.0,90,Drizzle,drizzle,11/11/2012 8:00,1797,low,medium
None,284.7,0.0,0.0,1,Mist,mist,9/9/2015 7:00,6463,very high,medium
None,265.69,0.0,0.0,1,Clear,sky is clear,1/5/2013 4:00,375,very low,low
None,271.14,0.0,0.0,1,Clear,sky is clear,10/21/2013 23:00,1018,very low,low
None,273.2,0.0,0.0,90,Snow,heavy snow,2/15/2013 1:00,465,very low,medium
None,290.53,0.25,0.0,92,Rain,light rain,8/19/2016 22:00,2407,low,medium
None,292.54,0.0,0.0,64,Clouds,broken clouds,7/25/2013 22:00,2310,low,high
None,295.62,0.0,0.0,75,Clouds,broken clouds,5/19/2016 16:00,6428,very high,high
None,271.16,0.0,0.0,64,Clouds,broken clouds,1/24/2014 12:00,5231,high,low
None,276.8,0.0,0.0,0,Clear,sky is clear,11/16/2012 11:00,5129,high,medium
None,260.8,0.0,0.0,64,Clouds,broken clouds,12/13/2013 16:00,6314,very high,low
None,272.95,0.0,0.0,90,Mist,mist,3/4/2016 15:00,5960,very high,medium
None,260.66,0.0,0.0,75,Clouds,broken clouds,1/15/2013 19:00,3043,medium,low
None,298.73,0.0,0.0,40,Clouds,scattered clouds,7/21/2015 14:00,5487,high,high
None,271.26,0.0,0.0,75,Snow,snow,12/26/2015 0:00,765,very low,low
None,295.71,0.0,0.0,40,Clouds,scattered clouds,7/1/2016 17:00,4307,medium,high
None,285.08,0.0,0.0,1,Clear,sky is clear,6/6/2017 7:00,6173,very high,medium
None,295.88,0.0,0.0,5,Clear,sky is clear,6/5/2018 13:00,5285,high,high
None,287.83,0.0,0.0,12,Clouds,few clouds,6/20/2013 5:00,2935,medium,medium
None,290.88,0.0,0.0,75,Clouds,broken clouds,4/15/2017 12:00,4958,high,medium
None,291.613,0.0,0.0,12,Clouds,few clouds,10/14/2016 20:00,2800,low,medium
None,290.48,0.0,0.0,75,Clouds,broken clouds,8/9/2017 8:00,6205,very high,medium
None,292.82,0.51,0.0,90,Drizzle,light intensity drizzle,9/23/2015 18:00,4634,high,high
None,266.68,0.0,0.0,64,Mist,mist,12/1/2013 5:00,475,very low,low
None,298.82,0.0,0.0,75,Clouds,broken clouds,6/24/2018 19:00,3438,medium,high
None,271.95,0.0,0.0,90,Snow,light snow,1/16/2017 22:00,1156,very low,low
None,274.4,0.0,0.0,90,Rain,light rain,12/23/2016 9:00,4017,medium,medium
None,291.54,0.0,0.0,1,Clear,sky is clear,8/9/2017 9:00,4988,high,medium
None,268.75,0.0,0.0,89,Clouds,overcast clouds,12/12/2012 13:00,4810,high,low
None,290.37,0.51,0.0,90,Rain,moderate rain,8/19/2015 16:00,6440,very high,medium
None,289.68,0.0,0.0,5,Clear,sky is clear,4/26/2018 14:00,5661,high,medium
None,290.75,0.51,0.0,90,Rain,moderate rain,9/24/2015 8:00,5940,very high,medium
None,268.6,0.0,0.0,64,Mist,mist,11/8/2013 5:00,2643,low,low
None,257.43,0.0,0.0,40,Clouds,scattered clouds,2/4/2014 0:00,442,very low,low
None,277.22,0.0,0.0,90,Rain,moderate rain,3/17/2016 13:00,5501,high,medium
None,290.98,0.0,0.0,90,Clouds,overcast clouds,7/14/2014 1:00,453,very low,medium
None,288.16,0.0,0.0,1,Clear,sky is clear,5/16/2017 0:00,624,very low,medium
None,270.72,0.0,0.0,75,Snow,light snow,3/1/2017 21:00,2439,low,low
None,289.44,1.09,0.0,80,Rain,moderate rain,6/9/2016 4:00,874,very low,medium
None,271.95,0.0,0.0,90,Snow,light snow,12/22/2015 6:00,5276,high,low
None,278.37,0.0,0.0,90,Clouds,overcast clouds,11/2/2012 10:00,4723,high,medium
None,269.22,0.0,0.0,75,Mist,mist,12/3/2015 5:00,2839,low,low
None,284.61,0.0,0.0,90,Clouds,overcast clouds,9/21/2018 13:00,4901,high,medium
None,288.75,0.0,0.0,40,Clouds,scattered clouds,11/1/2016 13:00,4608,high,medium
None,281.94,0.0,0.0,92,Mist,mist,10/19/2012 15:00,5849,very high,medium
State Fair,287.97,0.0,0.0,1,Clear,sky is clear,8/27/2015 0:00,605,very low,medium
None,264.65,0.0,0.0,75,Clouds,broken clouds,3/9/2018 5:00,2711,low,low
None,292.6,0.0,0.0,1,Clear,sky is clear,6/30/2016 21:00,2907,low,high
None,275.44,0.0,0.0,90,Mist,mist,12/16/2012 14:00,3547,medium,medium
None,275.27,0.29,0.0,90,Rain,light rain,3/19/2014 18:00,4429,high,medium
None,289.8,0.0,0.0,75,Clouds,broken clouds,5/27/2014 23:00,1072,very low,medium
None,279.81,0.0,0.0,40,Clouds,scattered clouds,3/27/2017 11:00,4549,high,medium
None,285.059,0.0,0.0,68,Clouds,broken clouds,2/20/2017 1:00,377,very low,medium
None,283.74,0.0,0.0,90,Mist,mist,12/4/2012 9:00,5388,high,medium
None,270.42,0.0,0.0,90,Snow,light snow,12/17/2017 14:00,4015,medium,low
None,272.56,0.0,0.0,1,Fog,fog,4/11/2018 4:00,886,very low,medium
None,272.48,0.0,0.0,90,Snow,light snow,12/8/2017 21:00,3138,medium,medium
None,262.5,0.0,0.0,75,Mist,mist,2/25/2013 2:00,229,very low,low
None,274.15,0.0,0.0,90,Snow,snow,11/23/2016 11:00,4262,medium,medium
None,294.95,0.0,0.0,75,Mist,mist,5/24/2018 21:00,2626,low,high
None,270.51,0.0,0.0,1,Fog,fog,12/5/2016 6:00,5573,high,low
None,279.51,0.64,0.0,90,Rain,light rain,4/24/2014 17:00,6747,very high,medium
None,288.38,0.0,0.0,1,Fog,fog,8/6/2014 3:00,401,very low,medium
None,302.69,0.0,0.0,1,Clear,sky is clear,7/15/2018 18:00,3836,medium,high
None,256.19,0.0,0.0,64,Clouds,broken clouds,1/7/2014 13:00,4178,medium,low
None,281.32,0.25,0.0,64,Drizzle,heavy intensity drizzle,11/16/2013 17:00,4402,high,medium
None,271.81,0.0,0.0,90,Clouds,overcast clouds,12/21/2016 6:00,4477,high,low
None,288.82,0.0,0.0,1,Mist,mist,7/29/2018 1:00,924,very low,medium
None,289.73,0.0,0.0,1,Clear,sky is clear,8/26/2016 22:00,2273,low,medium
None,282.15,0.0,0.0,1,Clear,sky is clear,10/22/2017 5:00,527,very low,medium
None,288.7,0.0,0.0,1,Mist,mist,8/11/2015 5:00,2981,medium,medium
None,298.62,0.0,0.0,40,Clouds,scattered clouds,7/7/2017 18:00,4681,high,high
None,292.15,0.0,0.0,90,Mist,mist,9/18/2013 10:00,4501,high,high
None,274.01,0.0,0.0,90,Mist,mist,2/23/2016 8:00,5556,high,medium
None,294.57,0.25,0.0,1,Rain,light rain,9/2/2018 4:00,316,very low,high
None,268.91,0.0,0.0,90,Snow,heavy snow,11/12/2012 21:00,1943,low,low
None,252.77,0.0,0.0,1,Clear,sky is clear,1/29/2014 4:00,771,very low,low
None,280.72,0.0,0.0,90,Drizzle,drizzle,5/21/2017 23:00,1039,very low,medium
None,304.53,0.0,0.0,20,Clouds,few clouds,7/5/2017 19:00,3206,medium,high
None,256.02,0.0,0.0,5,Clear,sky is clear,2/9/2017 8:00,5886,very high,low
None,296.03,0.0,0.0,40,Clouds,scattered clouds,6/1/2013 12:00,4813,high,high
None,292.66,0.0,0.0,1,Clear,sky is clear,7/14/2015 2:00,325,very low,high
None,270.35,0.0,0.0,1,Clear,sky is clear,3/2/2017 12:00,4949,high,low
None,297.41,0.0,0.0,75,Clouds,broken clouds,7/4/2014 15:00,3148,medium,high
None,280.13,0.0,0.0,90,Mist,mist,11/16/2013 9:00,3816,medium,medium
None,288.95,0.25,0.0,90,Rain,light rain,8/28/2016 6:00,912,very low,medium
None,280.42,0.0,0.0,90,Rain,moderate rain,10/31/2015 0:00,1314,very low,medium
None,300.23,0.0,0.0,88,Clouds,overcast clouds,7/10/2014 19:00,3600,medium,high
None,301.81,0.0,0.0,48,Clouds,scattered clouds,8/23/2013 15:00,6129,very high,high
None,295.59,0.0,0.0,20,Clouds,few clouds,6/8/2017 10:00,4508,high,high
None,288.01,0.0,0.0,20,Clouds,few clouds,6/3/2016 1:00,596,very low,medium
None,265.87,0.0,0.0,90,Snow,heavy snow,12/29/2012 10:00,3055,medium,low
None,259.57,0.0,0.0,40,Clouds,scattered clouds,1/8/2017 12:00,3597,medium,low
None,273.94,0.0,0.0,90,Mist,mist,3/27/2018 9:00,5088,high,medium
None,292.04,0.0,0.0,1,Clear,sky is clear,9/3/2016 21:00,2682,low,high
None,274.15,0.0,0.0,20,Clouds,few clouds,4/28/2018 7:00,2330,low,medium
None,283.35,0.0,0.0,5,Clear,sky is clear,9/8/2017 8:00,6232,very high,medium
None,274.61,0.0,0.0,1,Clear,sky is clear,3/13/2018 16:00,6366,very high,medium
None,297.15,0.0,0.0,90,Drizzle,light intensity drizzle,7/3/2018 15:00,5526,high,high
None,298.42,0.0,0.0,40,Clouds,scattered clouds,7/24/2018 12:00,4805,high,high
None,299.0,0.0,0.0,1,Clear,sky is clear,6/26/2015 13:00,4313,medium,high
None,295.42,0.0,0.0,90,Mist,mist,7/13/2018 9:00,4543,high,high
None,293.79,0.0,0.0,0,Clear,Sky is Clear,9/27/2013 0:00,680,very low,high
None,280.41,0.0,0.0,40,Clouds,scattered clouds,10/5/2013 22:00,4327,medium,medium
None,261.9,0.0,0.0,90,Mist,mist,1/4/2013 9:00,4844,high,low
None,273.87,0.0,0.0,90,Clouds,overcast clouds,3/21/2014 20:00,2793,low,medium
None,267.84,0.0,0.0,90,Snow,heavy snow,3/19/2013 12:00,4755,high,low
None,270.38,0.0,0.0,90,Clouds,overcast clouds,3/8/2013 19:00,3795,medium,low
None,296.46,0.0,0.0,75,Clouds,broken clouds,5/25/2016 18:00,4603,high,high
None,293.56,0.0,0.0,1,Clear,sky is clear,6/8/2014 19:00,3637,medium,high
None,290.88,0.0,0.0,0,Clear,Sky is Clear,9/4/2013 9:00,5776,high,medium
None,274.57,0.0,0.0,90,Mist,mist,10/27/2017 3:00,377,very low,medium
None,273.95,0.0,0.0,90,Mist,mist,12/24/2016 3:00,494,very low,medium
None,273.81,0.0,0.0,90,Snow,heavy snow,4/15/2013 20:00,2727,low,medium
None,286.557,0.0,0.0,92,Rain,moderate rain,2/20/2017 16:00,5107,high,medium
None,298.52,0.0,0.0,0,Clear,Sky is Clear,6/20/2013 13:00,5595,high,high
None,280.77,0.0,0.0,90,Mist,mist,10/28/2015 10:00,4642,high,medium
None,276.21,0.0,0.0,90,Rain,moderate rain,3/26/2017 2:00,590,very low,medium
None,292.49,0.0,0.0,40,Clouds,scattered clouds,7/23/2017 6:00,845,very low,high
None,275.55,0.0,0.0,90,Drizzle,drizzle,10/29/2015 2:00,229,very low,medium
None,276.66,0.0,0.0,1,Clear,sky is clear,5/14/2014 5:00,2846,low,medium
None,298.87,0.0,0.0,40,Clouds,scattered clouds,8/17/2013 16:00,4575,high,high
None,297.72,0.0,0.0,88,Clouds,overcast clouds,7/11/2014 21:00,3047,medium,high
None,295.48,0.0,0.0,1,Clear,sky is clear,5/26/2016 11:00,4919,high,high
None,288.65,0.0,0.0,90,Mist,mist,5/28/2016 5:00,1106,very low,medium
None,263.32,0.0,0.0,75,Clouds,broken clouds,12/24/2012 20:00,2212,low,low
None,269.36,0.0,0.0,90,Snow,light snow,4/15/2018 8:00,674,very low,low
None,294.53,0.0,0.0,20,Clouds,few clouds,6/18/2016 0:00,1658,low,high
None,277.15,0.0,0.0,90,Mist,mist,12/12/2015 16:00,5084,high,medium
None,275.42,0.0,0.0,90,Drizzle,drizzle,11/4/2017 10:00,3979,medium,medium
None,274.46,0.0,0.0,1,Clear,sky is clear,3/14/2014 19:00,3737,medium,medium
None,265.62,0.0,0.0,1,Snow,light snow,12/8/2016 6:00,5530,high,low
None,269.65,0.0,0.0,75,Snow,light snow,3/3/2017 21:00,3107,medium,low
None,282.09,0.0,0.0,90,Clouds,overcast clouds,9/30/2018 22:00,1450,very low,medium
None,300.78,0.0,0.0,12,Clouds,few clouds,7/9/2013 20:00,3110,medium,high
None,259.18,0.0,0.0,64,Mist,mist,1/26/2014 7:00,1190,very low,low
None,276.81,0.0,0.0,1,Clear,sky is clear,9/30/2015 6:00,5814,high,medium
None,275.34,0.0,0.0,90,Clouds,overcast clouds,12/4/2016 20:00,2234,low,medium
None,273.45,0.0,0.0,90,Mist,mist,2/14/2013 22:00,3814,medium,medium
None,272.48,0.0,0.0,90,Mist,mist,2/16/2016 1:00,340,very low,medium
None,266.49,0.0,0.0,1,Clear,sky is clear,4/2/2014 6:00,5691,high,low
None,272.77,0.0,0.0,90,Mist,mist,11/3/2017 17:00,5406,high,medium
None,288.02,0.0,0.0,40,Clouds,scattered clouds,4/25/2017 12:00,4982,high,medium
None,285.49,0.0,0.0,1,Clear,sky is clear,5/24/2013 12:00,5368,high,medium
None,290.61,0.0,0.0,0,Clear,Sky is Clear,9/19/2016 20:00,2372,low,medium
None,295.27,0.44,0.0,90,Drizzle,drizzle,9/3/2018 19:00,3006,medium,high
None,293.7,0.0,0.0,8,Clear,sky is clear,7/8/2014 21:00,2748,low,high
None,269.16,0.0,0.0,90,Haze,haze,12/19/2012 18:00,4553,high,low
None,291.31,0.0,0.0,1,Clear,sky is clear,5/6/2016 8:00,5690,high,medium
None,292.08,0.0,0.0,90,Mist,mist,6/12/2018 6:00,5905,very high,high
None,297.22,0.0,0.0,92,Mist,mist,7/12/2014 12:00,4334,medium,high
None,288.48,0.0,0.0,92,Clouds,overcast clouds,6/5/2013 9:00,5281,high,medium
None,264.93,0.0,0.0,1,Clear,sky is clear,11/27/2012 17:00,6092,very high,low
None,286.64,0.0,0.0,90,Drizzle,drizzle,5/22/2013 15:00,5781,high,medium
None,278.05,0.0,0.0,90,Clouds,overcast clouds,4/9/2013 21:00,3824,medium,medium
None,290.88,0.0,0.0,1,Haze,haze,7/4/2015 1:00,851,very low,medium
None,287.28,0.0,0.0,1,Clear,sky is clear,9/10/2016 6:00,1858,low,medium
None,248.79,0.0,0.0,40,Clouds,scattered clouds,1/7/2014 7:00,5761,high,low
None,260.54,0.0,0.0,1,Clear,sky is clear,3/18/2013 3:00,308,very low,low
None,291.46,0.0,0.0,90,Drizzle,light intensity drizzle,8/27/2016 14:00,4224,medium,medium
None,255.81,0.0,0.0,90,Snow,light snow,1/16/2018 6:00,5254,high,low
None,294.56,0.0,0.0,90,Clouds,overcast clouds,7/6/2014 2:00,680,very low,high
None,301.73,0.0,0.0,1,Clear,sky is clear,8/14/2015 20:00,3062,medium,high
None,292.67,0.0,0.0,75,Thunderstorm,proximity thunderstorm,6/11/2018 12:00,4763,high,high
None,291.83,2.7,0.0,90,Rain,moderate rain,9/8/2015 5:00,2776,low,high
None,274.48,0.0,0.0,90,Haze,haze,12/24/2016 12:00,3367,medium,medium
None,263.92,0.0,0.0,1,Clear,sky is clear,11/29/2013 7:00,2542,low,low
None,286.08,0.0,0.0,75,Clouds,broken clouds,9/15/2016 4:00,865,very low,medium
None,274.46,1.02,0.0,64,Rain,moderate rain,12/2/2013 15:00,5655,high,medium
None,298.08,0.0,0.0,20,Clouds,few clouds,7/31/2017 21:00,2555,low,high
None,291.64,0.0,0.0,40,Clouds,scattered clouds,6/3/2013 17:00,6079,very high,medium
None,271.98,0.0,0.0,90,Mist,mist,2/10/2013 19:00,1539,low,low
None,293.92,0.0,0.0,40,Clouds,scattered clouds,7/28/2016 21:00,2659,low,high
None,299.83,0.0,0.0,32,Clouds,scattered clouds,7/23/2013 12:00,5365,high,high
None,292.72,0.0,0.0,75,Clouds,broken clouds,5/19/2018 2:00,639,very low,high
None,308.95,0.0,0.0,40,Clouds,scattered clouds,5/28/2018 15:00,3812,medium,high
None,277.21,0.0,0.0,90,Clouds,overcast clouds,12/21/2016 13:00,5176,high,medium
None,290.58,0.0,0.0,90,Clouds,overcast clouds,8/21/2018 8:00,6123,very high,medium
None,278.28,0.0,0.0,90,Drizzle,light intensity drizzle,3/16/2017 16:00,6571,very high,medium
None,268.66,0.0,0.0,40,Mist,mist,12/14/2012 19:00,3598,medium,low
None,297.21,0.0,0.0,1,Clear,sky is clear,8/1/2015 10:00,3618,medium,high
None,291.15,0.0,0.0,40,Clouds,scattered clouds,6/16/2017 6:00,4912,high,medium
None,292.15,0.0,0.0,90,Drizzle,light intensity drizzle,8/6/2017 20:00,2872,low,high
None,262.09,0.0,0.0,1,Clear,sky is clear,3/3/2017 5:00,2576,low,low
None,281.15,0.0,0.0,90,Clouds,overcast clouds,4/12/2014 22:00,3115,medium,medium
None,288.02,0.0,0.0,1,Fog,fog,7/19/2017 6:00,5944,very high,medium
None,294.3,0.0,0.0,1,Clear,sky is clear,7/10/2018 0:00,688,very low,high
None,296.89,1.78,0.0,40,Rain,moderate rain,8/26/2018 23:00,1208,very low,high
None,286.0,0.0,0.0,40,Clouds,scattered clouds,10/25/2017 16:00,6630,very high,medium
None,294.14,0.0,0.0,20,Clouds,few clouds,6/5/2016 21:00,2796,low,high
None,295.81,0.0,0.0,92,Rain,light rain,7/26/2013 21:00,2917,medium,high
None,271.45,1.52,0.0,90,Rain,moderate rain,12/4/2013 10:00,3869,medium,low
None,267.68,0.0,0.0,40,Clouds,scattered clouds,12/9/2017 21:00,3260,medium,low
None,279.04,0.0,0.0,48,Clouds,scattered clouds,10/7/2013 7:00,6527,very high,medium
None,275.83,0.0,0.0,40,Clouds,scattered clouds,2/26/2017 14:00,4527,high,medium
None,300.52,0.0,0.0,0,Clear,Sky is Clear,7/5/2013 12:00,4544,high,high
None,292.53,0.0,0.0,80,Rain,light rain,6/23/2016 11:00,5346,high,high
None,279.46,0.0,0.0,20,Clouds,few clouds,9/28/2018 6:00,5521,high,medium
None,283.01,0.0,0.0,1,Clear,sky is clear,10/30/2015 13:00,5466,high,medium
None,296.28,0.0,0.0,1,Clear,sky is clear,6/27/2017 14:00,5031,high,high
None,282.8,0.0,0.0,40,Clouds,scattered clouds,10/18/2012 1:00,374,very low,medium
None,284.36,0.0,0.0,1,Clear,sky is clear,5/8/2013 4:00,703,very low,medium
None,286.42,0.0,0.0,1,Clear,sky is clear,9/13/2016 9:00,5337,high,medium
None,295.55,0.0,0.0,75,Clouds,broken clouds,5/19/2016 18:00,4756,high,high
None,289.79,2.1,0.0,1,Rain,heavy intensity rain,9/9/2016 4:00,851,very low,medium
None,293.2,0.3,0.0,1,Rain,light rain,7/11/2015 3:00,436,very low,high
None,292.45,0.0,0.0,1,Clear,sky is clear,8/5/2014 22:00,2027,low,high
None,287.39,0.25,0.0,90,Drizzle,light intensity drizzle,9/20/2018 2:00,265,very low,medium
None,283.01,0.0,0.0,40,Clouds,scattered clouds,11/5/2016 10:00,3720,medium,medium
None,295.64,0.0,0.0,1,Clear,sky is clear,8/9/2015 20:00,3241,medium,high
None,255.77,0.0,0.0,1,Clear,sky is clear,1/24/2013 19:00,3156,medium,low
None,294.79,0.0,0.0,1,Clear,sky is clear,9/5/2018 17:00,5938,very high,high
None,284.34,0.0,0.0,90,Clouds,overcast clouds,11/17/2016 11:00,4649,high,medium
None,267.96,0.0,0.0,75,Clouds,broken clouds,3/16/2014 21:00,2058,low,low
None,266.99,0.0,0.0,1,Clear,sky is clear,4/2/2018 3:00,352,very low,low
None,276.0,0.0,0.0,90,Snow,light snow,5/1/2017 7:00,6293,very high,medium
None,290.19,0.0,0.0,1,Clear,sky is clear,8/26/2016 21:00,2603,low,medium
None,275.08,0.0,0.0,90,Clouds,overcast clouds,3/26/2018 13:00,4661,high,medium
None,261.79,0.0,0.0,1,Clear,sky is clear,4/1/2018 2:00,520,very low,low
None,265.28,0.0,0.0,75,Clouds,broken clouds,11/28/2012 8:00,6071,very high,low
None,265.41,0.0,0.0,90,Snow,light snow,12/27/2016 8:00,4053,medium,low
None,286.28,0.0,0.0,75,Clouds,broken clouds,5/15/2016 23:00,1572,low,medium
None,266.98,0.0,0.0,90,Snow,light snow,12/30/2015 20:00,2564,low,low
None,302.66,0.0,0.0,32,Clouds,scattered clouds,6/18/2016 16:00,5036,high,high
None,296.83,1.27,0.0,75,Rain,moderate rain,9/2/2015 2:00,325,very low,high
None,298.98,0.0,0.0,20,Thunderstorm,proximity thunderstorm,7/4/2018 14:00,3318,medium,high
None,293.82,0.0,0.0,5,Clear,sky is clear,7/1/2018 21:00,2640,low,high
None,291.02,0.3,0.0,1,Mist,mist,6/29/2015 7:00,5889,very high,medium
None,286.81,0.0,0.0,5,Mist,mist,7/24/2017 7:00,6240,very high,medium
None,292.55,0.0,0.0,44,Haze,haze,6/11/2013 13:00,4994,high,high
None,274.65,0.0,0.0,90,Rain,light rain,4/12/2013 16:00,6595,very high,medium
None,253.9,0.0,0.0,90,Clouds,overcast clouds,2/5/2014 7:00,6415,very high,low
None,270.84,0.0,0.0,1,Clear,sky is clear,4/7/2017 5:00,2599,low,low
None,249.44,0.0,0.0,5,Clear,sky is clear,12/29/2013 20:00,2067,low,low
None,251.64,0.0,0.0,40,Clouds,scattered clouds,1/26/2014 23:00,738,very low,low
None,295.06,0.0,0.0,1,Clear,sky is clear,6/27/2015 22:00,3348,medium,high
None,262.76,0.0,0.0,64,Clouds,broken clouds,1/25/2014 3:00,369,very low,low
None,256.13,0.0,0.0,64,Snow,light snow,1/21/2014 21:00,2269,low,low
None,271.02,0.0,0.0,90,Clouds,overcast clouds,11/25/2012 20:00,2809,low,low
None,277.21,0.0,0.0,90,Rain,light rain,3/31/2013 10:00,3166,medium,medium
None,299.007,0.0,0.0,0,Clear,Sky is Clear,6/19/2015 18:00,4681,high,high
None,267.02,0.0,0.0,1,Clear,sky is clear,2/25/2017 0:00,1087,very low,low
None,296.97,0.0,0.0,75,Clouds,broken clouds,7/21/2014 3:00,391,very low,high
None,300.89,0.0,0.0,1,Clear,sky is clear,8/23/2016 15:00,5670,high,high
None,266.88,0.0,0.0,1,Clear,sky is clear,3/3/2017 11:00,5370,high,low
None,300.49,0.0,0.0,0,Clear,Sky is Clear,6/21/2016 16:00,6455,very high,high
None,292.22,0.0,0.0,1,Mist,mist,8/18/2018 0:00,1569,low,high
None,292.22,0.0,0.0,90,Mist,mist,7/17/2015 2:00,340,very low,high
None,265.86,0.0,0.0,90,Snow,light snow,12/22/2017 4:00,767,very low,low
None,283.77,0.0,0.0,20,Clouds,few clouds,4/8/2014 17:00,6437,very high,medium
None,261.46,0.0,0.0,75,Snow,light snow,12/12/2016 1:00,521,very low,low
None,296.21,0.0,0.0,56,Clouds,broken clouds,7/7/2013 4:00,359,very low,high
